	EntityA	EntityB	Effect	Mechanism
18323	MAFA	PCSK1	up-regulates quantity by expression	transcriptional regulation
18321	MAFA	NKX6-1	up-regulates quantity by expression	transcriptional regulation
18320	MAFA	GLP1R	up-regulates quantity by expression	transcriptional regulation
19580	MBD1	ALOX5	down-regulates quantity by repression	transcriptional regulation
19581	MBD1	MGMT	down-regulates quantity by repression	transcriptional regulation
19583	MBD2	CHD4	down-regulates quantity by repression	transcriptional regulation
19582	MBD2	ALOX5	down-regulates quantity by repression	transcriptional regulation
19653	MECOM	PBX1	up-regulates quantity by expression	transcriptional regulation
4577	MECP2	ALOX5	down-regulates quantity by repression	transcriptional regulation
19664	MECP2	RELN	down-regulates quantity by repression	transcriptional regulation
19655	MECP2	ABCB1	down-regulates quantity by repression	transcriptional regulation
19663	MECP2	MGMT	down-regulates quantity by repression	transcriptional regulation
19662	MECP2	IGFBP3	down-regulates quantity by repression	transcriptional regulation
19661	MECP2	GAD1	down-regulates quantity by repression	transcriptional regulation
19660	MECP2	ESR1	down-regulates quantity by repression	transcriptional regulation
19658	MECP2	DLX5	down-regulates quantity by repression	transcriptional regulation
19657	MECP2	CCND1	down-regulates quantity by repression	transcriptional regulation
19656	MECP2	BDNF	down-regulates quantity by repression	transcriptional regulation
19665	MECP2	TFF1	down-regulates quantity by repression	transcriptional regulation
19666	MEF2A	MYF6	up-regulates quantity by expression	transcriptional regulation
19667	MEF2A	MYH10	up-regulates quantity by expression	transcriptional regulation
19668	MEF2A	MYH1	up-regulates quantity by expression	transcriptional regulation
19669	MEF2A	MYH2	up-regulates quantity by expression	transcriptional regulation
4580	MEF2C	CDKL5	up-regulates quantity by expression	transcriptional regulation
19676	MEF2C	MYH2	up-regulates quantity by expression	transcriptional regulation
14437	MEF2C	MYF6	up-regulates quantity by expression	transcriptional regulation
19674	MEF2C	MYH10	up-regulates quantity by expression	transcriptional regulation
19673	MEF2C	MECP2	up-regulates quantity by expression	transcriptional regulation
19672	MEF2C	JUN	up-regulates quantity by expression	transcriptional regulation
19670	MEF2C	CPT1B	up-regulates quantity by expression	transcriptional regulation
19675	MEF2C	MYH1	up-regulates quantity by expression	transcriptional regulation
4581	MEF2D	MYH7	up-regulates quantity by expression	transcriptional regulation
19684	MEF2D	MYH2	up-regulates quantity by expression	transcriptional regulation
19682	MEF2D	MYH10	up-regulates quantity by expression	transcriptional regulation
19681	MEF2D	MYF6	up-regulates quantity by expression	transcriptional regulation
19680	MEF2D	DES	up-regulates quantity by expression	transcriptional regulation
19683	MEF2D	MYH1	up-regulates quantity by expression	transcriptional regulation
4609	MITF	DCT	up-regulates quantity by expression	transcriptional regulation
4610	MITF	PMEL	up-regulates quantity by expression	transcriptional regulation
19840	MITF	ACP5	up-regulates quantity by expression	transcriptional regulation
19842	MITF	BEST1	up-regulates quantity by expression	transcriptional regulation
19846	MITF	SERPINF1	up-regulates quantity by expression	transcriptional regulation
19845	MITF	OCA2	up-regulates quantity by expression	transcriptional regulation
19844	MITF	MLANA	up-regulates quantity by expression	transcriptional regulation
19841	MITF	BCL2	up-regulates quantity by expression	transcriptional regulation
19847	MITF	TPSAB1	up-regulates quantity by expression	transcriptional regulation
19848	MITF	TRPM1	up-regulates quantity by expression	transcriptional regulation
19850	MITF	TYR	up-regulates quantity by expression	transcriptional regulation
19849	MITF	TYRP1	up-regulates quantity by expression	transcriptional regulation
4641	MSX1	MYOD1	down-regulates quantity by repression	transcriptional regulation
20122	MTF1	SOD1	up-regulates quantity by expression	transcriptional regulation
20120	MTF1	GCLC	up-regulates quantity by expression	transcriptional regulation
20121	MTF1	MCAT	up-regulates quantity by expression	transcriptional regulation
20269	MYB	GSTM1	up-regulates quantity by expression	transcriptional regulation
4678	MYC	ST3GAL3	up-regulates quantity by expression	transcriptional regulation
4677	MYC	ST3GAL1	up-regulates quantity by expression	transcriptional regulation
20283	MYC	CDK4	up-regulates quantity by expression	transcriptional regulation
4675	MYC	FUT3	up-regulates quantity by expression	transcriptional regulation
20281	MYC	CCNE1	up-regulates quantity by expression	transcriptional regulation
20280	MYC	CCND2	up-regulates quantity by expression	transcriptional regulation
20279	MYC	CCND1	up-regulates quantity by expression	transcriptional regulation
20278	MYC	CCNA2	up-regulates quantity by expression	transcriptional regulation
14456	MYC	BMI1	up-regulates quantity by expression	transcriptional regulation
4676	MYC	HLA-A	down-regulates quantity by repression	transcriptional regulation
4679	MYC	ST3GAL4	up-regulates quantity by expression	transcriptional regulation
20282	MYC	CDC25A	up-regulates quantity by expression	transcriptional regulation
20296	MYC	HLA-E	down-regulates quantity by repression	transcriptional regulation
20295	MYC	HLA-C	down-regulates quantity by repression	transcriptional regulation
20294	MYC	HLA-B	down-regulates quantity by repression	transcriptional regulation
20293	MYC	HK2	up-regulates quantity	transcriptional regulation
20299	MYC	ITGA7	down-regulates quantity by repression	transcriptional regulation
5791	MYC	MYCT1	up-regulates quantity by expression	transcriptional regulation
20292	MYC	ENO1	up-regulates quantity	transcriptional regulation
20290	MYC	DKK1	down-regulates quantity by repression	transcriptional regulation
20289	MYC	CUL1	up-regulates quantity by expression	transcriptional regulation
20300	MYC	LDHA	up-regulates quantity	transcriptional regulation
20301	MYC	PFKM	up-regulates quantity	transcriptional regulation
20302	MYC	PRODH	down-regulates quantity by repression	transcriptional regulation
20306	MYC	SFRP1	down-regulates quantity by repression	transcriptional regulation
20288	MYC	CDKN2B	down-regulates quantity by repression	transcriptional regulation
20287	MYC	CDKN2A	down-regulates quantity by repression	transcriptional regulation
20307	MYC	SIRT2	up-regulates quantity by expression	transcriptional regulation
20308	MYC	SLC2A1	up-regulates quantity	transcriptional regulation
20286	MYC	CDKN1B	down-regulates quantity by repression	transcriptional regulation
20285	MYC	CDKN1A	down-regulates quantity by repression	transcriptional regulation
20284	MYC	CDK6	up-regulates quantity by expression	transcriptional regulation
20311	MYC	SURF1	up-regulates quantity by expression	transcriptional regulation
20312	MYC	USP22	up-regulates quantity by expression	transcriptional regulation
20313	MYC	VEGFA	up-regulates quantity	transcriptional activation
20297	MYC	HLA-F	down-regulates quantity by repression	transcriptional regulation
20298	MYC	HLA-G	down-regulates quantity by repression	transcriptional regulation
20273	MYCN	ABCB1	down-regulates quantity by repression	transcriptional regulation
20274	MYCN	MEF2C	down-regulates quantity by repression	transcriptional regulation
20275	MYCN	SIRT2	up-regulates quantity by expression	transcriptional regulation
4673	MYCN	ABCC1	up-regulates quantity by expression	transcriptional regulation
4674	MYCN	CTSD	up-regulates quantity by expression	transcriptional regulation
20326	MYF5	mir-206	up-regulates quantity	transcriptional regulation
20325	MYF5	MIR1-1	up-regulates quantity	transcriptional regulation
20324	MYF5	DES	up-regulates quantity by expression	transcriptional regulation
20328	MYF6	DES	up-regulates quantity by expression	transcriptional regulation
14458	MYOD1	CDKN1A	down-regulates quantity by repression	transcriptional regulation
20359	MYOD1	VEGFA	up-regulates quantity by expression	transcriptional regulation
20357	MYOD1	SP1	down-regulates quantity by repression	transcriptional regulation
20353	MYOD1	MYOG	up-regulates quantity by expression	transcriptional regulation
20354	MYOD1	PJA1	up-regulates quantity	transcriptional regulation
20344	MYOD1	ITGA7	up-regulates quantity by expression	transcriptional regulation
20343	MYOD1	FST	up-regulates quantity by expression	transcriptional regulation
20340	MYOD1	CDKN1A	up-regulates quantity by expression	transcriptional regulation
4685	MYOD1	CCND3	up-regulates quantity by expression	transcriptional regulation
4687	MYOD1	RB1	up-regulates quantity by expression	transcriptional regulation
20345	MYOD1	MYH7	up-regulates quantity by expression	transcriptional regulation
20341	MYOD1	DES	down-regulates quantity by repression	transcriptional regulation
20381	MYOG	MYOG	up-regulates	transcriptional regulation
20377	MYOG	DES	up-regulates quantity by expression	transcriptional regulation
20376	MYOG	CDKN1A	down-regulates quantity by repression	transcriptional regulation
4693	MYOG	ITGA7	up-regulates quantity by expression	transcriptional regulation
20380	MYOG	MYF6	up-regulates quantity by expression	transcriptional regulation
20390	MZF1	CCN3	up-regulates quantity by expression	transcriptional regulation
20389	MZF1	CCN2	up-regulates quantity by expression	transcriptional regulation
20392	MZF1	PRKCA	up-regulates quantity by expression	transcriptional regulation
20391	MZF1	PRKCA	up-regulates quantity by expression	transcriptional activation
20534	NANOG	GATA2	down-regulates quantity by repression	transcriptional regulation
20535	NANOG	GATA4	down-regulates quantity by repression	transcriptional regulation
20532	NANOG	DNMT1	up-regulates quantity by expression	transcriptional regulation
20537	NANOG	GATA6	down-regulates quantity by repression	transcriptional regulation
20539	NANOG	LAMB1	down-regulates quantity by repression	transcriptional regulation
4716	NANOG	SOX17	down-regulates quantity by repression	transcriptional regulation
20531	NANOG	CGB	down-regulates quantity by repression	transcriptional regulation
20530	NANOG	CGA	down-regulates quantity by repression	transcriptional regulation
20529	NANOG	CDX2	down-regulates quantity by repression	transcriptional regulation
20528	NANOG	AFP	down-regulates quantity by repression	transcriptional regulation
20540	NANOG	PAX6	down-regulates quantity by repression	transcriptional regulation
20533	NANOG	FOXA2	down-regulates quantity by repression	transcriptional regulation
4720	NCOA1	CYP7A1	up-regulates quantity by expression	transcriptional regulation
20581	NCOA1	PCK2	up-regulates quantity by expression	transcriptional regulation
20580	NCOA1	OTC	up-regulates quantity by expression	transcriptional regulation
20578	NCOA1	APOC3	up-regulates quantity by expression	transcriptional regulation
20577	NCOA1	APOA5	up-regulates quantity by expression	transcriptional regulation
20576	NCOA1	ALDOB	up-regulates quantity by expression	transcriptional regulation
20583	NCOA1	RARA	up-regulates quantity	transcriptional activation
20592	NCOA3	CCND1	up-regulates quantity by expression	transcriptional regulation
20717	NEUROD1	MGAT5B	up-regulates quantity by expression	transcriptional regulation
20722	NEUROG3	NEUROG2	down-regulates quantity by repression	transcriptional regulation
20723	NEUROG3	NHLH1	up-regulates quantity by expression	transcriptional regulation
20721	NEUROG3	NEUROG1	up-regulates quantity by expression	transcriptional regulation
20720	NEUROG3	NEUROD4	down-regulates quantity by repression	transcriptional regulation
20719	NEUROG3	INSM1	up-regulates quantity by expression	transcriptional regulation
20718	NEUROG3	ASH1L	down-regulates quantity by repression	transcriptional regulation
20724	NEUROG3	VSX2	down-regulates quantity by repression	transcriptional regulation
14467	NEUROG3	NEUROD1	up-regulates quantity by expression	transcriptional regulation
20747	NFATC1	PLAUR	up-regulates quantity by expression	transcriptional regulation
20746	NFATC1	Myotube_hypertrophy	up-regulates	transcriptional regulation
20745	NFATC1	MYH7	up-regulates quantity by expression	transcriptional regulation
20744	NFATC1	IL6	up-regulates quantity by expression	transcriptional regulation
4737	NFATC1	IL4	up-regulates quantity by expression	transcriptional regulation
20749	NFATC2	FST	up-regulates quantity by expression	transcriptional regulation
20750	NFATC2	IL4	up-regulates quantity by expression	transcriptional regulation
20751	NFATC2	IL6	up-regulates quantity by expression	transcriptional regulation
20754	NFATC2	MYOF	up-regulates quantity by expression	transcriptional regulation
20755	NFATC2	MYOF	up-regulates	transcriptional regulation
20756	NFATC2	MYOG	up-regulates quantity by expression	transcriptional regulation
4738	NFATC2	IL4	up-regulates	transcriptional regulation
4739	NFATC3	TFF1	up-regulates quantity by expression	transcriptional regulation
20758	NFATC3	IL6	up-regulates quantity by expression	transcriptional regulation
20757	NFATC3	CTSD	up-regulates quantity by expression	transcriptional regulation
20777	NFE2	HBB	up-regulates quantity by expression	transcriptional regulation
20781	NFE2	HBG2	up-regulates quantity by expression	transcriptional regulation
20780	NFE2	HBG1	up-regulates quantity by expression	transcriptional regulation
20779	NFE2	HBE1	up-regulates quantity by expression	transcriptional regulation
20778	NFE2	HBD	up-regulates quantity by expression	transcriptional regulation
20759	NFE2L1	NQO1	up-regulates quantity by expression	transcriptional activation
20773	NFE2L2	NQO1	up-regulates quantity by expression	transcriptional activation
20772	NFE2L2	NQO1	down-regulates quantity by repression	transcriptional regulation
4741	NFE2L2	SOD2	up-regulates quantity by expression	transcriptional regulation
4740	NFE2L2	SOD1	up-regulates quantity by expression	transcriptional regulation
4742	NFE2L2	TBXAS1	up-regulates quantity by expression	transcriptional regulation
20776	NFE2L2	TXN	up-regulates quantity by expression	transcriptional regulation
20770	NFE2L2	KRT16	up-regulates quantity by expression	transcriptional regulation
20769	NFE2L2	HMOX1	up-regulates quantity	transcriptional regulation
20763	NFE2L2	GCLC	down-regulates quantity by repression	transcriptional regulation
20761	NFE2L2	CAT	up-regulates quantity by expression	transcriptional regulation
20768	NFE2L2	HMOX1	up-regulates quantity by expression	transcriptional activation
20764	NFE2L2	GCLC	up-regulates quantity by expression	transcriptional activation
20765	NFE2L2	GSTA1	down-regulates quantity by repression	transcriptional regulation
20766	NFE2L2	GSTA1	up-regulates quantity by expression	transcriptional activation
20767	NFE2L2	HMOX1	down-regulates quantity by repression	transcriptional regulation
4743	NFIB	EZH2	down-regulates quantity by repression	transcriptional regulation
20786	NFIL3	CYP3A4	down-regulates quantity by repression	transcriptional regulation
4745	NFIL3	SOSTDC1	down-regulates quantity by repression	transcriptional regulation
20794	NFKB1	KLK3	up-regulates quantity by expression	transcriptional regulation
20793	NFKB1	IEX-1L	up-regulates quantity by expression	transcriptional regulation
20797	NFKB1	NPPB	unknown	transcriptional regulation
20791	NFKB1	CD80	up-regulates quantity by expression	transcriptional regulation
20790	NFKB1	BIRC3	up-regulates quantity by expression	transcriptional regulation
20789	NFKB1	BIRC2	up-regulates quantity by expression	transcriptional regulation
20792	NFKB1	CTCF	down-regulates quantity by repression	transcriptional regulation
20799	NFKB1	THBD	down-regulates quantity by repression	transcriptional regulation
20800	NFKB1	TRAF1	up-regulates quantity by expression	transcriptional regulation
20869	NFX1	TERT	up-regulates quantity by expression	transcriptional regulation
4755	NFYA	GFI1B	up-regulates quantity by expression	transcriptional regulation
20871	NFYA	CBS	up-regulates quantity by expression	transcriptional regulation
4757	NFYA	PHGDH	up-regulates quantity by expression	transcriptional regulation
20872	NFYA	GCH1	up-regulates quantity by expression	transcriptional regulation
20873	NFYA	OGG1	up-regulates quantity by expression	transcriptional regulation
20874	NFYA	SOX18	up-regulates quantity by expression	transcriptional regulation
20880	NFYB	SOX18	up-regulates quantity by expression	transcriptional regulation
20877	NFYB	GFI1B	up-regulates quantity by expression	transcriptional regulation
20876	NFYB	GCH1	up-regulates quantity by expression	transcriptional regulation
20879	NFYB	PHGDH	up-regulates quantity by expression	transcriptional regulation
20886	NFYC	GCH1	up-regulates quantity by expression	transcriptional regulation
4758	NFYC	PHGDH	up-regulates quantity by expression	transcriptional regulation
4759	NFYC	SOX18	up-regulates quantity by expression	transcriptional regulation
20887	NFYC	GFI1B	up-regulates quantity by expression	transcriptional regulation
20897	NHLH2	ASCL1	up-regulates quantity by expression	transcriptional regulation
20899	NHLH2	MAOA	up-regulates quantity by expression	transcriptional regulation
20898	NHLH2	HES1	down-regulates quantity by repression	transcriptional regulation
20948	NKX2-1	SFTPB	up-regulates quantity by expression	transcriptional regulation
20949	NKX2-5	ANKRD1	up-regulates quantity by expression	transcriptional regulation
20950	NKX2-5	CTNNB1	down-regulates quantity by repression	transcriptional regulation
20951	NKX2-5	GATA4	up-regulates quantity by expression	transcriptional regulation
20952	NKX2-5	LYL1	up-regulates quantity by expression	transcriptional regulation
20953	NKX2-5	MYL2	up-regulates quantity by expression	transcriptional regulation
20955	NKX2-5	TBX5	up-regulates quantity by expression	transcriptional regulation
4771	NKX2-5	MEF2C	up-regulates quantity by expression	transcriptional regulation
20954	NKX2-5	NPPB	unknown	transcriptional regulation
14474	NKX3-1	AR	down-regulates quantity by repression	transcriptional regulation
20956	NKX3-1	ACTG2	up-regulates quantity by expression	transcriptional regulation
21123	NPAS1	TH	down-regulates quantity by repression	transcriptional regulation
21192	NR1D1	ARNTL	down-regulates quantity by repression	transcriptional regulation
21194	NR1H2	BHLHE40	up-regulates quantity by expression	transcriptional regulation
21195	NR1H3	BHLHE40	up-regulates quantity by expression	transcriptional regulation
21196	NR1H4	ABCB4	up-regulates quantity by expression	transcriptional regulation
21197	NR1I2	ABCB1	up-regulates quantity by expression	transcriptional regulation
21198	NR1I2	CYP3A4	up-regulates quantity by expression	transcriptional regulation
21200	NR1I2	UGT1A1	up-regulates quantity by expression	transcriptional regulation
21201	NR1I3	CYP2B6	up-regulates quantity by expression	transcriptional regulation
21204	NR1I3	UGT1A1	up-regulates quantity by expression	transcriptional regulation
21209	NR2F2	NR3C1	up-regulates quantity by expression	transcriptional regulation
21237	NR3C1	NFKBIA	up-regulates quantity by expression	transcriptional regulation
21238	NR3C1	NR2F2	up-regulates quantity by expression	transcriptional regulation
21235	NR3C1	NCOA1	up-regulates quantity by expression	transcriptional regulation
21241	NR3C1	NR4A1	down-regulates quantity by repression	transcriptional regulation
21242	NR3C1	NR4A2	down-regulates quantity by repression	transcriptional regulation
21243	NR3C1	NR4A3	down-regulates quantity by repression	transcriptional regulation
21244	NR3C1	PCK1	up-regulates quantity	transcriptional regulation
21236	NR3C1	NFKB1	down-regulates quantity by repression	transcriptional regulation
21219	NR3C1	CEBPD	up-regulates quantity	transcriptional regulation
21246	NR3C1	PPARG	up-regulates quantity by expression	transcriptional regulation
21250	NR3C1	PPARG	up-regulates quantity	transcriptional regulation
21251	NR3C1	RXRA	up-regulates quantity by expression	transcriptional regulation
21252	NR3C1	SGK1	up-regulates quantity	transcriptional regulation
21254	NR3C1	TRIM63	up-regulates quantity by expression	transcriptional regulation
21255	NR3C1	TSC22D3	up-regulates quantity by expression	transcriptional regulation
21256	NR3C1	UGT1A1	up-regulates quantity by expression	transcriptional regulation
21231	NR3C1	KLF9	up-regulates quantity by expression	transcriptional regulation
21229	NR3C1	KLF15	up-regulates quantity by expression	transcriptional regulation
21215	NR3C1	CEBPA	up-regulates quantity by expression	transcriptional regulation
21212	NR3C1	ATP1B1	down-regulates quantity by repression	transcriptional regulation
21211	NR3C1	AR	down-regulates quantity by repression	transcriptional regulation
21218	NR3C1	CEBPB	up-regulates quantity by expression	transcriptional regulation
21225	NR3C1	HNF4A	up-regulates quantity by expression	transcriptional regulation
21228	NR3C1	JUN	down-regulates quantity by repression	transcriptional regulation
21222	NR3C1	FOXO3	up-regulates quantity	transcriptional regulation
21223	NR3C1	G6PC	up-regulates quantity	transcriptional regulation
21227	NR3C1	IRAK3	up-regulates quantity	transcriptional regulation
21230	NR3C1	KLF5	up-regulates quantity by expression	transcriptional regulation
21258	NR3C2	ATP1B1	down-regulates quantity by repression	transcriptional regulation
21260	NR4A1	NR3C1	down-regulates quantity by repression	transcriptional regulation
21259	NR4A1	HSD3B2	up-regulates quantity by expression	transcriptional regulation
21262	NR4A3	BAX	up-regulates quantity by expression	transcriptional regulation
21263	NR4A3	BBC3	up-regulates quantity by expression	transcriptional regulation
21267	NR5A1	HSD3B2	up-regulates quantity by expression	transcriptional regulation
21265	NR5A1	CYP11B2	down-regulates quantity by repression	transcriptional regulation
21269	NR5A1	STAR	up-regulates quantity by expression	transcriptional regulation
21266	NR5A1	CYP19A1	up-regulates quantity by expression	transcriptional regulation
21271	NR5A2	CYP19A1	up-regulates quantity by expression	transcriptional regulation
21272	NR5A2	HSD3B2	up-regulates quantity by expression	transcriptional regulation
21273	NR5A2	STAR	up-regulates quantity by expression	transcriptional regulation
21270	NR5A2	CYP11B1	up-regulates quantity by expression	transcriptional regulation
5662	NRF1	BRK1	down-regulates quantity by repression	transcriptional repression
5663	NRF1	ENOX1	up-regulates quantity by expression	transcriptional activation
21285	NRF1	FMR1	up-regulates quantity by expression	transcriptional regulation
21287	NRF1	RETREG3	up-regulates quantity by expression	transcriptional activation
21288	NRF1	SLC46A1	up-regulates quantity by expression	transcriptional regulation
21289	NRF1	SPAST	up-regulates quantity by expression	transcriptional regulation
21302	NRL	RBP3	down-regulates quantity by repression	transcriptional regulation
21303	NRL	RHO	down-regulates quantity by repression	transcriptional regulation
21510	OTX1	BEST1	up-regulates quantity by expression	transcriptional regulation
21513	OTX2	RBP3	up-regulates quantity by expression	transcriptional regulation
21511	OTX2	BEST1	up-regulates quantity by expression	transcriptional regulation
21626	PA2G4	KLK3	down-regulates quantity by repression	transcriptional regulation
14503	PAX2	WT1	up-regulates quantity by expression	transcriptional regulation
21822	PAX3	PITX2	up-regulates quantity by expression	transcriptional regulation
21821	PAX3	MYOD1	up-regulates quantity by expression	transcriptional regulation
21820	PAX3	MYF5	up-regulates quantity by expression	transcriptional regulation
14504	PAX3	FGFR4	up-regulates quantity by expression	transcriptional regulation
21823	PAX3	TBX2	up-regulates quantity by expression	transcriptional regulation
21826	PAX6	GCG	up-regulates quantity by expression	transcriptional regulation
21828	PAX6	PCSK1	up-regulates quantity by expression	transcriptional regulation
21825	PAX6	CTNND2	up-regulates quantity by expression	transcriptional regulation
21827	PAX6	PAX6	up-regulates quantity by expression	transcriptional regulation
21844	PAX7	MYOD1	up-regulates quantity by expression	transcriptional regulation
21842	PAX7	MYF5	up-regulates quantity by expression	transcriptional regulation
21851	PAX8	TG	up-regulates quantity by expression	transcriptional regulation
21849	PAX8	SLC3A1	up-regulates quantity by expression	transcriptional regulation
21850	PAX8	SLC5A5	up-regulates quantity by expression	transcriptional regulation
21886	PBX2	EMX2	up-regulates quantity by expression	transcriptional regulation
22070	PDX1	GCK	up-regulates quantity by expression	transcriptional regulation
22071	PDX1	INS	up-regulates quantity by expression	transcriptional regulation
22072	PDX1	NKX6-1	up-regulates quantity by expression	transcriptional regulation
22073	PDX1	SLC2A2	up-regulates quantity by expression	transcriptional regulation
22144	PGR	KLK4	up-regulates quantity by expression	transcriptional regulation
22172	PHF1	HOXA10	down-regulates quantity by repression	transcriptional regulation
22173	PHF1	HOXA9	down-regulates quantity by repression	transcriptional regulation
22418	PIN1	IFNB1	down-regulates quantity by repression	transcriptional regulation
22440	PITX1	GNRH1	down-regulates quantity by repression	transcriptional regulation
22441	PITX1	LHB	up-regulates quantity by expression	transcriptional regulation
22443	PITX2	GNRH1	down-regulates quantity by repression	transcriptional regulation
22445	PITX2	TBX1	down-regulates quantity by repression	transcriptional regulation
22444	PITX2	MYOD1	up-regulates quantity by expression	transcriptional regulation
22497	PKNOX1	SYP	up-regulates quantity by expression	transcriptional regulation
22496	PKNOX1	PTPN6	up-regulates quantity by expression	transcriptional regulation
22505	PLAG1	IGF2	up-regulates quantity by expression	transcriptional regulation
22502	PLAG1	ABCC6	up-regulates quantity by expression	transcriptional regulation
22506	PLAGL1	ABCC6	up-regulates quantity by expression	transcriptional regulation
22507	PLAGL2	SFTPC	up-regulates quantity by expression	transcriptional regulation
22744	POU1F1	GH1	up-regulates quantity by expression	transcriptional regulation
14535	POU2F1	GFI1B	up-regulates quantity by expression	transcriptional regulation
22753	POU2F1	SNAI2	up-regulates quantity by expression	transcriptional regulation
22752	POU2F1	MYH2	up-regulates quantity by expression	transcriptional regulation
22754	POU2F1	TWIST1	up-regulates quantity by expression	transcriptional regulation
22750	POU2F1	MYH10	up-regulates quantity by expression	transcriptional regulation
22749	POU2F1	IL4	down-regulates quantity by repression	transcriptional regulation
22747	POU2F1	HOXD10	up-regulates quantity by expression	transcriptional regulation
22751	POU2F1	MYH1	up-regulates quantity by expression	transcriptional regulation
22748	POU2F1	HOXD11	up-regulates quantity by expression	transcriptional regulation
22755	POU3F2	GNRH1	up-regulates quantity by expression	transcriptional regulation
22756	POU3F2	MITF	up-regulates quantity by expression	transcriptional regulation
22761	POU4F1	SCN9A	up-regulates quantity by expression	transcriptional regulation
5789	POU4F3	LHX3	up-regulates quantity by expression	transcriptional regulation
22784	POU5F1	SOX2	up-regulates quantity by expression	transcriptional regulation
22782	POU5F1	SOX17	down-regulates quantity by repression	transcriptional regulation
22785	POU5F1	TBX18	down-regulates quantity by repression	transcriptional regulation
14537	POU5F1	GATA4	down-regulates quantity by repression	transcriptional regulation
22787	POU5F1	TDGF1	up-regulates quantity by expression	transcriptional regulation
22788	POU5F1	THY1	up-regulates quantity by expression	transcriptional regulation
22789	POU5F1	ZFP42	up-regulates quantity by expression	transcriptional regulation
14536	POU5F1	AKT1	down-regulates quantity by repression	transcriptional regulation
22786	POU5F1	TBXT	down-regulates quantity by repression	transcriptional regulation
22779	POU5F1	PAX6	down-regulates quantity by repression	transcriptional regulation
22769	POU5F1	DNMT1	up-regulates quantity by expression	transcriptional regulation
22777	POU5F1	LEFTY2	up-regulates quantity by expression	transcriptional regulation
22776	POU5F1	LEFTY1	up-regulates quantity by expression	transcriptional regulation
22775	POU5F1	ID2	down-regulates quantity by repression	transcriptional regulation
22774	POU5F1	HLX	down-regulates quantity by repression	transcriptional regulation
22773	POU5F1	GATA6	down-regulates quantity by repression	transcriptional regulation
22772	POU5F1	FOXA2	down-regulates quantity by repression	transcriptional regulation
22771	POU5F1	EOMES	down-regulates quantity by repression	transcriptional regulation
22770	POU5F1	DPPA4	up-regulates quantity by expression	transcriptional regulation
22763	POU5F1	AKT	down-regulates quantity by repression	transcriptional regulation
22768	POU5F1	DLX5	down-regulates quantity by repression	transcriptional regulation
22767	POU5F1	DKK1	down-regulates quantity by repression	transcriptional regulation
22764	POU5F1	BMP4	down-regulates quantity by repression	transcriptional regulation
22765	POU5F1	CDKN1A	down-regulates quantity by repression	transcriptional regulation
22766	POU5F1	CDX2	down-regulates quantity by repression	transcriptional regulation
22778	POU5F1	NANOG	up-regulates quantity by expression	transcriptional regulation
22813	PPARA	SLC25A20	up-regulates quantity by expression	transcriptional regulation
22810	PPARA	CPT1A	up-regulates quantity by expression	transcriptional regulation
22809	PPARA	AQP3	up-regulates quantity by expression	transcriptional regulation
22808	PPARA	ACSL1	up-regulates quantity by expression	transcriptional regulation
22812	PPARA	PLIN2	up-regulates quantity by expression	transcriptional regulation
22814	PPARD	CAT	up-regulates quantity by expression	transcriptional regulation
22815	PPARD	HSD11B2	down-regulates quantity by repression	transcriptional regulation
22816	PPARD	SLC25A20	up-regulates quantity by expression	transcriptional regulation
22817	PPARD	SOD1	up-regulates quantity by expression	transcriptional regulation
22818	PPARD	TXN	up-regulates quantity by expression	transcriptional regulation
22849	PPARG	CEBPA	up-regulates activity	transcriptional regulation
22853	PPARG	FABP4	up-regulates	transcriptional regulation
22845	PPARG	ABCG2	up-regulates quantity by expression	transcriptional regulation
22850	PPARG	CPT1B	up-regulates quantity by expression	transcriptional regulation
22851	PPARG	CTNNB1	down-regulates quantity by repression	transcriptional regulation
22852	PPARG	FABP4	up-regulates quantity by expression	transcriptional regulation
23265	PRDM1	CIITA	down-regulates quantity by repression	transcriptional regulation
23266	PRDM1	FCER2	down-regulates quantity by repression	transcriptional regulation
23267	PRDM1	MYC	down-regulates quantity by repression	transcriptional regulation
23269	PRDM1	PAX5	down-regulates quantity by repression	transcriptional regulation
23260	PRDM14	POU5F1	up-regulates quantity by expression	transcriptional regulation
23270	PRDM2	HMOX1	up-regulates quantity by expression	transcriptional regulation
24544	PROX1	IFNG	down-regulates quantity by repression	transcriptional regulation
25040	PURA	MYH6	down-regulates quantity by repression	transcriptional regulation
25041	PURB	MYH6	down-regulates quantity by repression	transcriptional regulation
25213	RARA	RXRG	up-regulates quantity by expression	transcriptional regulation
25211	RARA	CCNA1	down-regulates quantity by repression	transcriptional regulation
5027	RARA	EGFR	down-regulates quantity by repression	transcriptional regulation
5028	RARA	NR4A1	down-regulates quantity by repression	transcriptional regulation
25283	RBPJ	NFKB2	down-regulates quantity by repression	transcriptional regulation
25274	RBPJ	CDKN1A	up-regulates quantity by expression	transcriptional regulation
25280	RBPJ	HES1	up-regulates quantity	transcriptional regulation
25284	RBPJ	NOTCH	down-regulates	transcriptional repression
25337	REL	CSRP1	up-regulates quantity by expression	transcriptional regulation
25318	RELA	BCL2A1	up-regulates quantity by expression	transcriptional regulation
25317	RELA	B2M	up-regulates quantity by expression	transcriptional regulation
25331	RELA	PCK2	down-regulates quantity by repression	transcriptional regulation
25330	RELA	NPPB	unknown	transcriptional regulation
